Age,Gender,Years at Company,Monthly Income,Work-Life Balance,Job Satisfaction,Performance Rating,Number of Promotions,Overtime,Distance from Home,Education Level,Number of Dependents,Job Level,Company Size,Company Tenure,Remote Work,Company Reputation,Employee Recognition,Attrition,Job Role_Education,Job Role_Finance,Job Role_Healthcare,Job Role_Media,Job Role_Technology,Marital Status_Divorced,Marital Status_Married,Marital Status_Single
31,1,19,43120,4,2,3,2,0,22,2,0,2,2,89,0,4,2,0,1,0,0,0,0,0,1,0
59,0,4,44272,1,3,1,3,0,21,4,3,2,2,21,0,2,1,0,0,0,0,1,0,1,0,0
24,0,10,65272,3,3,1,0,0,11,3,3,2,2,74,0,1,1,0,0,0,1,0,0,0,1,0
36,0,7,31912,3,3,4,1,0,27,1,2,2,1,50,1,3,2,0,1,0,0,0,0,0,0,1
56,1,41,38568,2,4,3,0,1,71,1,0,3,2,68,0,2,2,0,1,0,0,0,0,1,0,0
38,0,3,79816,2,3,2,3,0,37,3,0,2,2,47,0,2,3,1,0,0,0,0,1,0,1,0
47,1,23,29448,2,3,4,1,1,75,1,3,1,1,93,0,3,2,1,1,0,0,0,0,1,0,0
48,1,16,89784,4,4,4,2,0,5,4,4,1,2,88,0,4,1,0,0,1,0,0,0,0,1,0
57,1,44,30184,3,2,4,1,1,39,1,4,1,2,75,0,2,2,0,1,0,0,0,0,0,1,0
24,0,1,58552,1,3,3,1,1,57,5,4,1,3,45,0,3,1,1,0,0,1,0,0,0,0,1
30,0,12,43544,3,3,3,1,0,51,1,1,1,1,17,0,3,2,1,1,0,0,0,0,0,0,1
29,0,6,71600,1,2,1,2,0,26,4,0,2,2,38,0,1,2,1,0,0,1,0,0,0,0,1
47,0,38,72312,2,4,4,1,0,78,2,0,1,1,68,0,3,1,1,0,0,0,0,1,0,1,0
31,1,22,64720,2,2,4,4,1,30,2,2,2,1,84,0,3,2,0,0,0,1,0,0,1,0,0
40,0,30,50800,3,3,3,0,0,98,1,0,3,3,96,0,3,3,0,0,0,0,0,1,0,0,1
40,0,4,41408,1,3,3,0,0,48,1,0,1,1,21,1,3,3,1,0,1,0,0,0,0,0,1
19,0,9,65936,4,2,3,2,1,17,1,3,2,1,63,0,2,3,1,0,0,0,0,1,0,0,1
33,0,1,69864,3,3,2,1,1,86,1,0,2,1,19,0,3,1,0,0,1,0,0,0,0,0,1
